TEST: SEED: 1456076939, SIDE: 5000, GRAIN_HOST: 9000, GRAIN_PHI: 0, VECT: true, FF:false, OUTPUT_FILE:16-02-21/perf_vect_thread_25M.txt.
XEON HOST
NUM THREADS	INIT PHASE	COPY BORDER	CREATING THREADS	BARRIER PHASE	COMPLETE GOL
0	613807	7097	0	0	6783970
1	552645	8442	81	2909	8692577
2	540770	10123	147	2940	4114970
3	475390	10046	150	2966	3002754
4	431676	10854	740	2912	2110578
5	347264	8400	958	2777	1507658
6	271665	7943	1444	2914	1366293
7	275524	8117	1132	2926	1216101
8	273116	8064	1554	2975	1119390
9	405775	8364	2040	4384	1189229
10	336207	8384	1950	3911	1001149
11	276839	8323	2165	72086	1018753
12	345874	8898	1526	103697	1052314
13	342491	8867	2813	415211	1271944
14	314222	8961	4606	411413	1255010
15	289883	8379	9030	430798	1131903
16	266222	7909	18401	667356	1322462

XEON PHI
NUM THREADS	INIT PHASE	COPY BORDER	CREATING THREADS	BARRIER PHASE	COMPLETE GOL
0	2244143	199047	0	0	17650988
1	2244216	204394	586	17547402	17754332
10	2247083	225118	11537	1974986	3935097
20	2247138	231691	25852	68057	1195194
30	2246187	240135	39969	70301	1041229
40	2247645	247412	53660	61865	821098
50	2244426	249644	67634	292718	982628
60	2244529	278975	80119	261725	945367
70	2244441	277749	91147	316790	983616
80	2244454	277700	101181	254692	904344
90	2244590	276918	115279	250490	896901
100	2244934	277318	126048	233687	883981
110	2244884	280576	138521	229602	881797
120	2244977	295009	152359	271349	949191
130	2244826	296409	167120	298624	994464
140	2244700	296170	181570	321214	1029112
150	2244696	295980	196589	329245	1041286
160	2244660	295961	210956	272740	1004892
170	2245645	293078	224949	330532	1069204
180	2244977	310416	242654	377159	1180698
190	2245107	309653	263089	411236	1247538
200	2244865	311279	281145	853804	1689915
210	2244669	306865	301932	3140388	4026502
220	2244748	308029	324166	3189123	4083315
230	2244331	305791	344238	3107601	4021890
240	2246564	308948	368223	2254192	3236519
