TEST: SEED: 1456076939, SIDE: 5000, GRAIN_HOST: 9000, GRAIN_PHI: 0, VECT: true, FF:true, OUTPUT_FILE:16-02-21/perf_vect_ff_25M.txt.
XEON HOST
NUM THREADS	INIT PHASE	COPY BORDER	CREATING THREADS	BARRIER PHASE	COMPLETE GOL
0	566337	5677	0	0	5484517
1	418143	9509	3766	20	5656635
2	267675	7552	4408	372238	3208093
3	268488	7512	4629	239084	2293691
4	268643	7771	4647	440875	2194878
5	268660	7823	4928	476539	1938783
6	269017	9058	4468	459376	1686125
7	268136	10324	5552	515314	1623700
8	267504	9799	4740	438267	1295009
9	267506	8893	4718	296467	1134902
10	267188	10205	4770	675392	1516900
11	268538	10044	5677	631562	1545728
12	267754	10606	5530	570011	1433602
13	267553	10923	6152	527898	1379073
14	267524	10825	5795	558597	1331136
15	267273	10046	5520	716449	1375321
16	277793	9879	6522	1490112	2125480

XEON PHI
NUM THREADS	INIT PHASE	COPY BORDER	CREATING THREADS	BARRIER PHASE	COMPLETE GOL
0	2244079	199083	0	0	17652255
1	2244185	204800	1139	471	17675313
10	3407432	228743	4123	1330950	2815373
20	3502727	232271	8402	561063	1389419
30	2244483	231038	10232	313741	728882
40	2247649	240820	13588	237586	614538
50	2245302	250127	17166	152777	546175
60	2244858	257719	20848	149478	523437
70	2291935	258516	25134	169684	615169
80	2268265	263377	29027	162305	593986
90	2298370	264813	32593	146838	577116
100	2271094	267799	37972	120074	565967
110	2245311	268644	44850	111649	554890
120	2275093	270712	49534	104881	553509
130	2244944	277588	52826	135750	568409
140	2245557	273886	58201	134076	573248
150	2245091	275689	63754	129401	589078
160	2264553	283402	69655	109028	601228
170	2249884	283029	76586	93851	604454
180	2245515	286685	80772	107303	609269
190	2244989	290349	87731	111891	638611
200	2245144	299709	94239	107251	664276
210	2245756	295650	102626	100518	668252
220	2245032	295272	108342	96804	680365
230	2244693	297754	114559	97929	681500
240	2244453	297814	122537	117375	767181
