TEST: SEED: 1456076939, SIDE: 10000, GRAIN_HOST: 9000, GRAIN_PHI: 0, VECT: false, FF:true, OUTPUT_FILE:16-02-21/perf_ff_100M.txt.
XEON HOST
NUM THREADS	INIT PHASE	COPY BORDER	CREATING THREADS	BARRIER PHASE	COMPLETE GOL
0	2492980	13526	0	0	71795527
1	3092910	19856	5033	18	77421180
2	2250510	14146	4218	611394	36962539
3	2391267	18481	5837	4145303	31989760
4	2670706	17399	5080	4491754	25742967
5	2833059	16800	5012	2911799	19639488
6	2429461	18614	5477	939809	13178353
7	2045248	17052	5565	209387	10474320
8	2027535	18878	5892	223085	9269503
9	2027120	19945	6304	272965	8279755
10	2023360	14612	6175	381927	7516332
11	2022880	14677	6685	362328	6893347
12	2023336	15032	6477	520760	6559317
13	2025108	18273	6798	243936	5994824
14	2025812	20125	7283	260918	5667184
15	2061691	22181	7329	219703	5286968
16	2078756	20626	7424	5257824	10240077

XEON PHI
NUM THREADS	INIT PHASE	COPY BORDER	CREATING THREADS	BARRIER PHASE	COMPLETE GOL
0	17278042	403043	0	0	543130910
1	17278710	405499	1042	561	532008741
10	17279197	422012	3784	39754238	52389587
20	17279621	420341	6942	20422299	29258023
30	17279608	425195	10193	13412786	18663576
40	17279690	428023	13560	9563359	14934293
50	17279712	435147	17079	6669424	11793578
60	17279702	439545	20787	6367249	10042692
70	17280630	441225	24535	3590752	8451148
80	17279966	441471	28678	3824988	8040166
90	17279074	450739	33458	3786239	7167629
100	17278882	451968	38043	3491535	6386863
110	17278636	452227	42440	2876114	5861058
120	17280032	452750	47944	2478637	6407957
130	17278541	455988	53158	3993117	7021715
140	17280182	467277	58407	3063504	7121608
150	17281826	473376	63490	2597223	6572312
160	18005223	480964	74970	3269176	7646577
170	19356712	483982	84093	3768972	8498279
180	17293262	482024	82764	3023376	6770473
190	17286557	490706	91032	3254947	6803666
200	17283175	509693	96606	3346354	6758303
210	17280470	510884	102876	3589081	6840249
220	17279526	511008	107704	3327031	6599582
230	17277906	509704	117176	3391527	6321272
240	17278488	510998	125165	3369423	6540338
