TEST: SEED: 1456076939, SIDE: 10000, GRAIN_HOST: 9000, GRAIN_PHI: 0, VECT: false, FF:false, OUTPUT_FILE:16-02-21/perf_thread_100M.txt.
XEON HOST
NUM THREADS	INIT PHASE	COPY BORDER	CREATING THREADS	BARRIER PHASE	COMPLETE GOL
0	2502876	12696	0	0	66679986
1	2497370	15580	90	2246	67831886
2	2504637	18481	87	4423	43239926
3	2841874	19277	144	5726	38557992
4	3769321	22156	176	15424	35328125
5	2034819	14838	163	5665	15651849
6	2086584	14786	163	6524	14750950
7	2261301	19105	182	8973	13679487
8	2464712	17500	205	9143	12266519
9	2453536	14378	257	7442	10266402
10	2205862	14259	253	8098	9576855
11	2217039	14637	282	18997	9144600
12	2249902	14706	305	10624	8504620
13	2307215	14609	320	156805	7720733
14	2356286	14694	345	382993	7798426
15	2579328	14602	361	596038	7812362
16	2559578	14581	382	795198	7975279

XEON PHI
NUM THREADS	INIT PHASE	COPY BORDER	CREATING THREADS	BARRIER PHASE	COMPLETE GOL
0	17380547	406654	0	0	546702226
1	17415740	413490	588	547745084	548162663
10	17465952	421873	2929	55808524	109882588
20	17863453	423838	5832	66771772	95892756
30	17453884	426158	8784	58127083	82134521
40	17502239	430146	12362	51599941	70764693
50	17517165	434282	15409	46876093	62095664
60	36766261	530054	22369	27085901	52323688
70	55837467	639774	35324	10045389	38602213
80	56930967	680465	37672	9419438	37031646
90	57569007	654773	45301	7219342	31195341
100	57813251	659782	49831	7268933	30072971
110	57910481	699946	56047	7178995	28960511
120	57975893	735203	65142	8437477	28326575
130	58029986	747800	68035	8826489	27741203
140	57997903	763386	81393	5764687	22341516
150	58021430	728089	77399	5532943	20651526
160	39100337	564159	74301	4234945	14048549
170	17279714	504971	72678	3084995	7281788
180	17279075	507274	76813	2805938	7485006
190	17279698	535899	82703	3468132	8437453
200	17278431	537978	89737	3533976	8406493
210	17279994	537867	99267	3627207	8327382
220	17278459	538366	102399	3577501	8074004
230	17277971	538914	109766	3327671	7576846
240	17278019	537990	119650	3786889	8970764
