XEON HOST
NUM THREADS	INIT PHASE	COPY BORDER	CREATING THREADS	BARRIER PHASE	COMPLETE GOL
0	114334	12888	0	0	21131286
1	56778	15598	3911	7	21092420
2	56717	16798	4010	99147	10832051
3	56598	17027	4193	128211	7359229
4	56034	14244	4176	313733	5637093
5	56875	15766	4289	246520	4789731
6	56886	14520	4322	556124	4290295
7	56820	16188	4574	1898081	5276524
8	57077	14813	4664	1668117	4699524
9	57318	14955	4689	1558679	4421887
10	56832	14822	4842	1286238	3713593
11	56678	14859	5049	1199680	3676910
12	57544	17479	5348	1724123	3887254
13	56710	17581	5298	1722023	3839306
14	56723	17773	5478	1627861	3656781
15	57927	17876	5523	1458208	3292919
16	57887	18118	5614	2133814	4185221

XEON PHI
NUM THREADS	INIT PHASE	COPY BORDER	CREATING THREADS	BARRIER PHASE	COMPLETE GOL
0	365153	415676	0	0	72238213
1	416204	415824	1262	266	72640478
10	424957	424782	3995	2929514	12259029
20	428049	425070	7267	2570177	6996902
30	394691	427913	10008	1624512	4677387
40	380096	440515	13473	1619790	4184918
50	394766	443420	17008	1543612	3800354
60	426425	441483	23727	1072292	3027253
70	428940	461615	25250	913777	2865951
80	398238	462939	31106	1090430	2688837
90	415747	462340	34107	992748	2534002
100	460991	461228	42098	1055653	2514218
110	453236	465182	43698	960467	2383982
120	397110	473094	50288	1249315	2588417
130	447665	479640	54881	1555381	2907025
140	447216	462826	63811	1741626	3061761
150	429910	462379	66099	1791944	3016791
160	405382	485087	70342	1743662	2939965
170	385661	460938	78710	1527217	2630117
180	437026	477277	86463	1570198	2652292
190	401288	477603	88140	1318106	2409844
200	395253	490757	95120	956803	2053860
210	386412	494565	107276	1033091	2129785
220	403700	503345	132731	1278932	2411183
230	364724	504193	121499	1002315	2190720
240	367734	507251	126757	2789140	4034840
