XEON HOST
NUM THREADS	INIT PHASE	COPY BORDER	CREATING THREADS	BARRIER PHASE	COMPLETE GOL
0	14133	5638	0	0	5307439
1	14065	7477	57	6	5753681
2	14745	6653	79	177001	3259964
3	14813	7152	137	236015	2082830
4	14862	7083	139	56790	1386355
5	14701	7134	1016	61202	1138071
6	14617	7822	2097	120143	1012331
7	14688	7714	2348	105954	869123
8	14699	7774	2593	72509	760670
9	14695	7608	3420	60151	684552
10	14792	7930	4495	89559	666031
11	14932	7966	4381	105277	668681
12	16699	8108	4766	85100	686230
13	15966	8131	5004	768284	1247737
14	15436	8184	5617	792752	1246588
15	14974	8161	7029	887557	1310769
16	14749	8172	6789	921307	1316886

XEON PHI
NUM THREADS	INIT PHASE	COPY BORDER	CREATING THREADS	BARRIER PHASE	COMPLETE GOL
0	92044	202451	0	0	17662207
1	92087	202543	560	345	17663254
10	92199	209990	24172	78705	2035874
20	92239	222029	45058	89721	1213404
30	92371	230811	61118	96787	952191
40	92308	247138	79528	145742	849357
50	92259	259343	89386	189816	849484
60	92246	259216	96994	216408	822715
70	92127	275572	104260	268997	825847
80	92353	270610	119336	241869	763607
90	92329	276326	135156	250307	781754
100	92408	287956	145708	293630	822849
110	92359	288186	164660	304806	829601
120	94913	295780	177315	371895	886888
130	92576	293034	198267	334552	872307
140	92457	305852	210983	380980	889940
150	93571	301348	257131	396484	907016
160	94109	295514	245772	804096	1305610
170	92808	294662	257052	1193418	1689855
180	94416	300019	283144	1030128	1546974
190	93024	284198	300978	2319126	2782316
200	92382	290307	329321	2324756	2793681
210	92308	284060	413196	2494482	2965766
220	92195	273231	533721	3352398	3807819
230	92297	272485	576457	3701487	4163017
240	92500	271885	665637	3769110	4229015
