XEON HOST
NUM THREADS	INIT PHASE	COPY BORDER	CREATING THREADS	BARRIER PHASE	COMPLETE GOL
0	1476897	12857	0	0	62007094
1	1057648	16733	67	5	61409389
2	1203531	14848	84	228211	31096984
3	1216838	16535	98	421821	20975486
4	1093082	15477	121	546600	15917831
5	1111714	16331	404	962570	13459715
6	1102174	17200	1405	1524629	12007074
7	1170934	17167	1463	1447823	10257511
8	1245406	17085	2741	894332	9024011
9	1317462	17310	2564	903014	8086860
10	1290807	17310	3590	1041940	7570477
11	1209535	17357	3777	677853	6933274
12	1102379	17591	4497	700998	6436327
13	1246264	35135	5744	5885154	11199865
14	1264812	27072	6275	5832219	10751330
15	1189583	20147	6067	5598610	10189746
16	1098022	20799	6610	5539844	9874335

XEON PHI
NUM THREADS	INIT PHASE	COPY BORDER	CREATING THREADS	BARRIER PHASE	COMPLETE GOL
0	9053697	403242	0	0	523268805
1	9066026	401660	559	317	524058790
10	9056819	410179	15133	2712462	57602698
20	9056932	415241	36211	2261668	28838365
30	9058844	415519	58407	620466	18498868
40	9057919	430037	77087	1655374	15558016
50	9057527	434980	89792	1032670	11989057
60	9057594	466027	95768	1057865	10478112
70	9057193	468918	106507	1257116	9375268
80	9056896	469072	114017	1410574	8585907
90	9057004	466995	118585	1624241	8078160
100	9057158	469296	127958	1601236	7386951
110	9057790	473746	133673	1583421	6926743
120	9056763	492549	139177	1900833	7293772
130	9075717	496005	145718	3399375	8424268
140	9056483	497184	155156	3461862	8247388
150	9057149	501076	158066	3463843	7986918
160	9058802	508488	179650	3770715	8637108
170	9071169	546799	190196	4629181	9477778
180	9086712	727828	200530	11586632	16323599
190	9102017	734339	218724	11624285	16035658
200	9055620	536286	201958	3516774	8032640
210	9055513	534163	209730	3466029	7794637
220	9056069	534726	223448	3357226	7561850
230	9055129	535412	219797	3090167	7228451
240	9055473	658557	237363	11377604	15386214
