XEON HOST
NUM THREADS	INIT PHASE	COPY BORDER	CREATING THREADS	BARRIER PHASE	COMPLETE GOL
0	265625	5886	0	0	15511341
1	270150	9966	3879	13	15433478
2	267209	6702	4289	48082	7797185
3	270692	6795	4328	295317	5501656
4	267915	6817	4403	133086	4136685
5	270061	8178	4057	13583	3454009
6	270760	8460	4091	15421	2884254
7	270136	7946	4333	15501	2474980
8	267561	7352	4386	14349	2167474
9	268209	7910	4412	15071	1981759
10	269201	8589	4522	80662	1812527
11	269168	8125	4677	16791	1717723
12	268597	7703	5018	212864	2164870
13	341806	8697	5297	65686	2064592
14	336929	11735	5428	184969	2228745
15	285280	8867	5100	941484	2644677
16	272132	8992	5128	2299242	4437223

XEON PHI
NUM THREADS	INIT PHASE	COPY BORDER	CREATING THREADS	BARRIER PHASE	COMPLETE GOL
0	2267059	202519	0	0	130064052
1	2400764	203125	1125	293	137416754
10	2323849	211042	3845	818544	15284094
20	2301241	217695	6874	926568	8019247
30	2415022	229970	10033	688706	5438332
40	2399199	234986	13142	834567	4540805
50	2383427	243383	16672	993982	4063650
60	2414797	247624	20684	1059038	3640811
70	2421576	248283	25537	987173	3224854
80	2423431	253352	29001	1030635	3092014
90	2418898	262572	34675	907295	2737168
100	2420660	258997	38545	917755	2610522
110	2405868	263351	43501	892962	2529057
120	2405434	268972	49456	907278	2497033
130	2419367	269632	53964	1170356	2664634
140	2418005	267427	60676	1221382	2661646
150	2404165	264228	64700	2480079	3868388
160	2420501	267098	74983	2547550	3876085
170	2416541	273879	82558	4301844	5702594
180	2407503	283221	86400	5389241	6704099
190	2370651	307353	91349	5590575	6886283
200	2416003	398165	100679	5776789	7145811
210	2353419	389890	107184	6187519	7593499
220	2383287	356242	116025	6260328	7716052
230	2389546	277270	121820	6375708	7718352
240	2376186	270917	132382	6656378	8022329
